,Method,Scene,Nodenum,Samplenum
247,R3T_old,3,239,239
248,R3T_old,3,180,180
249,R3T_old,3,268,268
250,R3T_old,3,212,212
251,R3T_old,3,303,303
252,R3T_old,3,131,131
253,R3T_old,3,270,270
254,R3T_old,3,229,229
255,R3T_old,3,207,207
256,R3T_old,3,244,244
257,R3T_old,3,151,151
258,R3T_old,3,157,157
259,R3T_old,3,165,165
260,R3T_old,3,115,115
261,R3T_old,3,190,190
262,R3T_old,3,236,236
263,R3T_old,3,322,322
264,R3T_old,3,490,490
265,R3T_old,3,497,497
266,R3T_old,3,182,182
267,R3T_old,3,1146,1146
268,R3T_old,3,186,186
269,R3T_old,3,160,160
270,R3T_old,4,177,177
271,R3T_old,4,172,172
272,R3T_old,4,187,187
273,R3T_old,4,122,122
274,R3T_old,4,220,220
275,R3T_old,4,123,123
276,R3T_old,4,561,561
277,R3T_old,4,203,203
278,R3T_old,4,125,125
279,R3T_old,4,180,180
280,R3T_old,4,493,493
281,R3T_old,4,193,193
282,R3T_old,4,164,164
283,R3T_old,4,113,113
284,R3T_old,4,165,165
285,R3T_old,4,182,182
286,R3T_old,4,137,137
287,R3T_old,4,106,106
288,R3T_old,4,99,99
289,R3T_old,4,118,118
290,R3T_old,4,285,285
291,R3T_old,4,161,161
292,R3T_old,4,637,637
293,R3T_old,4,246,246
294,R3T_old,4,190,190
295,R3T_old,4,111,111
296,R3T_old,4,107,107
297,R3T_old,4,300,300
298,R3T_old,4,98,98
299,R3T_old,4,328,328
