,Method,Scene,success
290,R3T_old,4,True
291,R3T_old,4,True
292,R3T_old,4,True
293,R3T_old,4,True
294,R3T_old,4,True
295,R3T_old,4,True
296,R3T_old,4,True
297,R3T_old,4,True
298,R3T_old,4,True
299,R3T_old,4,True
