,Method,Scene,Dist2goal
0,R3T,0,0.002113909720818506
1,R3T,0,0.0020818185375793274
2,R3T,0,0.0007277017073246341
3,R3T,0,0.001556085034281927
4,R3T,0,0.00029970035512167986
5,R3T,0,0.0021537500665615144
6,R3T,0,0.0
7,R3T,0,0.0020231934014383005
8,R3T,0,0.0024628345210686467
9,R3T,0,0.004044701142476322
10,R3T,0,0.0007838748264943278
11,R3T,0,0.002166155889882448
12,R3T,0,0.010702445431428387
13,R3T,0,0.0
14,R3T,0,0.0012715487863077513
15,R3T,0,0.0031518318775269672
16,R3T,0,0.01290169564436581
17,R3T,0,0.009511755064531068
18,R3T,0,0.002656612650932234
19,R3T,0,0.0019450893885617226
20,R3T,0,0.002614586810977207
21,R3T,0,0.002557575994911502
22,R3T,0,0.002650763218901063
23,R3T,0,0.0
24,R3T,0,0.003450446927103717
25,R3T,0,0.002085637185230814
26,R3T,0,0.007050228857146174
27,R3T,0,0.0
28,R3T,0,0.00902299688857279
29,R3T,0,0.0014147380985365407
30,R3T,1,0.003909608290201393
31,R3T,1,0.007307243271182077
32,R3T,1,0.0019373840402284914
33,R3T,1,0.0
34,R3T,1,0.0015881356447410703
35,R3T,1,0.0
36,R3T,1,0.004485029781207485
37,R3T,1,0.010649418877509162
38,R3T,1,0.00949674420511089
39,R3T,1,0.0
40,R3T,1,0.010793025870146387
41,R3T,1,0.0005521783401504104
42,R3T,1,0.001636938376197507
43,R3T,1,0.0002418467194630096
44,R3T,1,0.001855512907108751
45,R3T,1,0.0010265615546906717
46,R3T,1,0.003070638623677148
47,R3T,1,0.00022423573980540347
48,R3T,1,0.0
49,R3T,1,0.0012489299349335394
50,R3T,1,0.003008572417671684
51,R3T,1,0.0010215177770858989
52,R3T,1,0.0009511018327741331
53,R3T,1,0.005802669924217515
54,R3T,1,0.001992847094933215
55,R3T,1,0.0
56,R3T,1,0.0011087230273560923
57,R3T,1,0.0018574686919931146
58,R3T,1,0.0035848362858703154
59,R3T,1,0.002771539925939398
60,R3T,2,0.000929873711520525
61,R3T,2,0.0006954095573773112
62,R3T,2,0.001546688067880841
63,R3T,2,0.0010362261460293506
64,R3T,2,1.2636134086398039e-05
65,R3T,2,0.002911674119485853
66,R3T,2,0.001413993394566987
67,R3T,2,0.0040616421430339595
68,R3T,2,0.0010655127734592253
69,R3T,2,0.0016555558821716141
70,R3T,2,0.0011237073409787533
71,R3T,2,0.0015775893026018378
72,R3T,2,0.0016975139504934575
73,R3T,2,0.00368340579278068
74,R3T,2,0.0006511070556247362
75,R3T,2,0.0004909362830310778
76,R3T,2,0.0008600059237478036
77,R3T,2,0.0008076446855346964
78,R3T,2,0.001215828907784799
79,R3T,2,0.005601608176449094
80,R3T,2,0.00011238674011092543
81,R3T,2,0.0
82,R3T,2,0.00034569181571240455
83,R3T,2,0.0013756164802676272
84,R3T,2,0.0003830094478703175
85,R3T,2,0.002849903218086132
86,R3T,2,0.0032395237342986993
87,R3T,2,0.00043071151463908023
88,R3T,2,0.00014884746108522606
89,R3T,2,0.006792241751902087
90,R3T,3,0.004055683408016209
91,R3T,3,0.0036121473876075086
92,R3T,3,0.0012215161147336791
93,R3T,3,0.0012979239698439025
94,R3T,3,0.0017884805818383653
95,R3T,3,0.005503541731780634
96,R3T,3,0.00725506941562997
97,R3T,3,0.0
98,R3T,3,0.0013271471268858693
99,R3T,3,0.004250814980581301
100,R3T,3,0.0032263599696440975
101,R3T,3,0.001763834093115818
102,R3T,3,0.0012109265950132548
103,R3T,3,0.010277851603930886
104,R3T,3,0.0010469938543259736
105,R3T,3,0.0008438272927072486
106,R3T,3,0.0031313778177495927
107,R3T,3,0.00209201483411067
108,R3T,3,0.000901137262898961
109,R3T,3,0.001383147241904908
110,R3T,3,0.006825713338866836
111,R3T,3,0.003935794207966627
112,R3T,3,0.0011586562633005663
113,R3T,3,0.000878582609216193
114,R3T,3,0.002722876921126826
115,R3T,3,0.001477405722910912
116,R3T,3,0.0028225106928316352
117,R3T,3,0.0014691544695669993
118,R3T,3,0.00031450749172093134
119,R3T,3,0.000581331011920824
120,R3T,4,0.0008357571002144201
121,R3T,4,0.0011744075537822604
122,R3T,4,0.0028327578615863895
123,R3T,4,0.00023643969339232337
124,R3T,4,0.0007222517418284531
125,R3T,4,0.0010761867705086634
126,R3T,4,0.0014929791909696051
127,R3T,4,0.0011483641379146873
128,R3T,4,0.0010174782304059344
129,R3T,4,0.001818426015102192
130,R3T,4,0.0017933507250880484
131,R3T,4,0.0005798527821939283
132,R3T,4,0.0026318022710240412
133,R3T,4,0.0013069424587073084
134,R3T,4,0.0014216373596179317
135,R3T,4,0.007132436033379396
136,R3T,4,0.002249690668772331
137,R3T,4,0.0012076769130165241
138,R3T,4,0.0037006334522504264
139,R3T,4,0.00046763087439493224
140,R3T,4,0.007511145298813101
141,R3T,4,0.0016932952353824432
142,R3T,4,0.00135588131884719
143,R3T,4,0.0011342689574722277
144,R3T,4,0.0004408268815929736
145,R3T,4,0.002675845367282365
146,R3T,4,0.0004940922447431532
147,R3T,4,0.005793362631450715
148,R3T,4,0.0012274574534701234
149,R3T,4,0.0038434495660530843
150,R3T_old,0,0.0009681803137438969
151,R3T_old,0,0.0004615865446163038
152,R3T_old,0,0.0014048158103858888
153,R3T_old,0,0.0007745361330677148
154,R3T_old,0,0.003504360237798492
155,R3T_old,0,0.003138519520083646
156,R3T_old,0,0.0011528481630768478
157,R3T_old,0,0.008478894086260484
158,R3T_old,0,0.00433043691359393
159,R3T_old,0,0.001965974513052877
160,R3T_old,0,0.0010505174248739114
161,R3T_old,0,0.0009695009760896389
162,R3T_old,0,0.0007552288030332066
163,R3T_old,0,0.00013435623360107268
164,R3T_old,0,0.0010562243392922682
165,R3T_old,0,0.0008793451105889003
166,R3T_old,0,0.0020477922719159235
167,R3T_old,0,0.0029461169502816814
168,R3T_old,0,0.004003689698815098
169,R3T_old,0,0.001321544052425392
170,R3T_old,0,0.0014788915424328052
171,R3T_old,0,0.0
172,R3T_old,0,0.0006508648855781858
173,R3T_old,0,0.0012726074721082128
174,R3T_old,0,0.0013271766854556263
175,R3T_old,0,0.0
176,R3T_old,0,0.000505765230732192
177,R3T_old,0,0.006633313643272605
178,R3T_old,0,0.0011838336672170284
179,R3T_old,0,0.0021810716607558968
180,R3T_old,1,0.0011292684435193349
181,R3T_old,1,0.001457098755263082
182,R3T_old,1,0.0016900801860722015
183,R3T_old,1,0.0038384153927709694
184,R3T_old,1,0.001813076242650497
185,R3T_old,1,0.0012727724499810966
186,R3T_old,1,0.004311637807244363
187,R3T_old,1,0.009388605183984931
188,R3T_old,1,0.002287304108841176
189,R3T_old,1,0.000966060233060445
190,R3T_old,1,0.0023701472350780776
191,R3T_old,1,0.0002149169313123533
192,R3T_old,1,0.0011139290966380407
193,R3T_old,1,0.0001981697278911393
194,R3T_old,1,0.0024266036311439703
195,R3T_old,1,0.0
196,R3T_old,1,0.0001279011323182485
197,R3T_old,1,0.005347437693519177
198,R3T_old,1,0.00160128726018671
199,R3T_old,1,0.0
200,R3T_old,1,0.00045757641747717133
201,R3T_old,1,0.0008502388252142355
202,R3T_old,1,0.0006334837996312384
203,R3T_old,1,0.001343799219621471
204,R3T_old,1,0.0017887420726300572
205,R3T_old,1,0.0019971836944698354
206,R3T_old,1,0.001554506897010568
207,R3T_old,1,0.0063787060038840914
208,R3T_old,1,0.0008212197092977046
209,R3T_old,1,0.0007920019970894093
210,R3T_old,2,0.00023608235589682656
211,R3T_old,2,0.0006526537165440614
212,R3T_old,2,9.863368177115825e-06
213,R3T_old,2,0.0039787133830718625
214,R3T_old,2,0.0013863555927069453
215,R3T_old,2,0.0017136309897699186
216,R3T_old,2,0.0029473864445686126
217,R3T_old,2,0.001583306314531299
218,R3T_old,2,0.005937525577420819
219,R3T_old,2,0.00031685811371764993
220,R3T_old,2,0.002054985379600601
221,R3T_old,2,0.0008863527103299011
222,R3T_old,2,0.0011037118351442316
223,R3T_old,2,0.0005186984673376924
224,R3T_old,2,0.002712796159141356
225,R3T_old,2,0.0008287871374284652
226,R3T_old,2,0.00148147692389914
227,R3T_old,2,0.002699893047966918
228,R3T_old,2,0.005983474125151964
229,R3T_old,2,0.0017531366633514675
230,R3T_old,2,0.002166294132208738
231,R3T_old,2,0.00030987373318998876
232,R3T_old,2,0.0009331863901463675
233,R3T_old,2,0.0021106129126609962
234,R3T_old,2,0.0026483288762553852
235,R3T_old,2,0.011613892671239707
236,R3T_old,2,0.00033352218217614976
237,R3T_old,2,0.005356982478973534
238,R3T_old,2,0.0015206669181455417
239,R3T_old,2,0.0011846107878920747
240,R3T_old,3,0.0
241,R3T_old,3,0.005308869682398436
242,R3T_old,3,9.89048659754752e-05
243,R3T_old,3,0.0009559659189852255
244,R3T_old,3,0.00660332989630087
245,R3T_old,3,0.0020787371640305064
246,R3T_old,3,0.0
247,R3T_old,3,0.0004278770635162795
248,R3T_old,3,0.0009602803389759746
249,R3T_old,3,0.00274082156369583
250,R3T_old,3,0.002273425648165233
251,R3T_old,3,0.0026436259698314718
252,R3T_old,3,0.0021657564071293923
253,R3T_old,3,0.0013072309597775612
254,R3T_old,3,0.0021282220201738517
255,R3T_old,3,0.0019923161065455875
256,R3T_old,3,0.0020661519942670147
257,R3T_old,3,0.001298448456654777
258,R3T_old,3,0.0026154411748407287
259,R3T_old,3,0.001866745154202594
260,R3T_old,3,0.0008973284977084002
261,R3T_old,3,0.0007568651098260777
262,R3T_old,3,0.0008847226665305355
263,R3T_old,3,0.0034175106166743907
264,R3T_old,3,0.003713880361516201
265,R3T_old,3,0.006299793251040936
266,R3T_old,3,7.319759779959961e-05
267,R3T_old,3,0.0011260802531680243
268,R3T_old,3,0.003487123656378811
269,R3T_old,3,0.0025027566626321246
270,R3T_old,4,0.002452324056732904
271,R3T_old,4,0.0029937397954610625
272,R3T_old,4,0.0010843493658457925
273,R3T_old,4,0.0023602868357644803
274,R3T_old,4,0.001092250171238939
275,R3T_old,4,0.0010020131354622477
276,R3T_old,4,0.0017222546793195911
277,R3T_old,4,0.002651669924828673
278,R3T_old,4,0.0007960690761484409
279,R3T_old,4,9.553123303262472e-06
280,R3T_old,4,0.001138524728087836
281,R3T_old,4,0.0025369037520988403
282,R3T_old,4,0.0017949277156438651
283,R3T_old,4,0.0037714424117098484
284,R3T_old,4,0.0010678045321000531
285,R3T_old,4,0.0007756035805912077
286,R3T_old,4,0.0033869573371973103
287,R3T_old,4,0.00239670706738667
288,R3T_old,4,0.0009087702064930664
289,R3T_old,4,0.0021948728838516304
290,R3T_old,4,0.001461528968540367
291,R3T_old,4,0.0012774203527547141
292,R3T_old,4,0.0011692188471023493
293,R3T_old,4,0.0011404196148170156
294,R3T_old,4,0.002011336361508585
295,R3T_old,4,0.0041020695483497405
296,R3T_old,4,0.0014211116337495518
297,R3T_old,4,0.002498493793821587
298,R3T_old,4,0.0009050149738032575
299,R3T_old,4,0.007129631648302029
